period_start_month,period_end_month,method,block_mean_length_months,n_paths,horizon_months,seed,risk_per_trade_pct,mc_policy,mc_cap_nav_ccy,mc_policy_apply,mc_policy_start_month,policy_total_cash_out_ccy_p05,policy_total_cash_out_ccy_p50,policy_total_cash_out_ccy_p95,policy_ending_nav_ccy_p05,policy_ending_nav_ccy_p50,policy_ending_nav_ccy_p95,policy_flow_aware_ending_value_ccy_p05,policy_flow_aware_ending_value_ccy_p50,policy_flow_aware_ending_value_ccy_p95,policy_flow_aware_multiple_p05,policy_flow_aware_multiple_p50,policy_flow_aware_multiple_p95,policy_prob_any_cashout,policy_avg_cashout_events,ending_nav_p05,ending_nav_p50,ending_nav_p95,wealth_multiple_p05,wealth_multiple_p50,wealth_multiple_p95,cagr_annualized_p05,cagr_annualized_p50,cagr_annualized_p95,max_drawdown_magnitude_p50,max_drawdown_magnitude_p95,max_drawdown_magnitude_p99,prob_negative_horizon_return,prob_maxdd_ge_5pc_eom,prob_maxdd_ge_7pc_eom,prob_maxdd_ge_10pc_eom,prob_maxdd_ge_20pc_eom,prob_maxdd_ge_30pc_eom,prob_maxdd_ge_5x_risk_eom,prob_maxdd_ge_7x_risk_eom,prob_maxdd_ge_10x_risk_eom,prob_no_breach_ge_5x_risk_eom,prob_no_breach_ge_7x_risk_eom,prob_no_breach_ge_10x_risk_eom,cond_es_maxdd_ge_5x_risk,cond_es_maxdd_ge_7x_risk,cond_es_maxdd_ge_10x_risk,mc_ttb_ge_5x_risk_p50,mc_ttb_ge_7x_risk_p50,mc_ttb_ge_10x_risk_p50,mc_maxdd_xrisk_p50,mc_maxdd_xrisk_p95,mc_maxdd_xrisk_p99
2008-01,2025-08,stationary_bootstrap,3,10000,12,42,0.0100,cap_nav,9000000.00,yearly,1,0.00,0.00,0.00,7766035.90,8003739.70,8342345.87,7766035.90,8003739.70,8342345.87,0.9830,1.0131,1.0560,0.0,0.0,7766035.90,8003739.70,8342345.87,0.98,1.01,1.06,-0.0170,0.0131,0.0560,0.0081,0.0356,0.0584,0.2341,0.0349,0.0013,0.0000,0.0000,0.0000,0.0349,0.0013,0.0000,0.9651,0.9987,1.0000,6.00,7.48,NaN,8,11,NaN,0.81,3.56,5.84
2008-01,2025-08,stationary_bootstrap,3,10000,36,42,0.0100,cap_nav,9000000.00,yearly,1,0.00,0.00,0.00,7787597.93,8234728.67,8808752.90,7787597.93,8234728.67,8808752.90,0.9858,1.0424,1.1150,0.0022,0.0022,7787597.93,8234728.67,8808752.90,0.99,1.04,1.12,-0.0048,0.0139,0.0370,0.0174,0.0584,0.0730,0.1087,0.1087,0.0138,0.0008,0.0000,0.0000,0.1087,0.0138,0.0008,0.8913,0.9862,0.9992,6.22,8.00,10.82,19,25,26,1.74,5.84,7.30
2008-01,2025-08,stationary_bootstrap,3,10000,212,42,0.0100,cap_nav,9000000.00,yearly,1,0.00,1149804.80,2535002.94,8633973.73,9034643.62,9352058.85,8885567.05,10198531.55,11630028.52,1.1248,1.2910,1.4722,0.9367,6.0293,8884459.17,10257918.64,11987274.91,1.12,1.30,1.52,0.0067,0.0149,0.0239,0.0584,0.0849,0.1079,0.0020,0.5464,0.1347,0.0184,0.0000,0.0000,0.5464,0.1347,0.0184,0.4536,0.8653,0.9816,6.61,8.48,11.33,90,112,120,5.84,8.49,10.79
2008-01,2025-08,stationary_bootstrap,4,10000,12,42,0.0100,cap_nav,9000000.00,yearly,1,0.00,0.00,0.00,7775110.15,7995473.86,8331954.34,7775110.15,7995473.86,8331954.34,0.9842,1.0121,1.0547,0.0,0.0,7775110.15,7995473.86,8331954.34,0.98,1.01,1.05,-0.0158,0.0121,0.0547,0.0081,0.0356,0.0584,0.2434,0.0386,0.0016,0.0000,0.0000,0.0000,0.0386,0.0016,0.0000,0.9614,0.9984,1.0000,5.97,7.61,NaN,7,10,NaN,0.81,3.56,5.84
2008-01,2025-08,stationary_bootstrap,4,10000,36,42,0.0100,cap_nav,9000000.00,yearly,1,0.00,0.00,0.00,7783889.86,8240597.95,8832081.00,7783889.86,8240597.95,8832081.00,0.9853,1.0431,1.1180,0.003,0.003,7783889.86,8240597.95,8832081.00,0.99,1.04,1.12,-0.0049,0.0142,0.0379,0.0166,0.0584,0.0709,0.1096,0.1170,0.0114,0.0007,0.0000,0.0000,0.1170,0.0114,0.0007,0.8830,0.9886,0.9993,6.16,8.01,10.90,19,26,30,1.66,5.84,7.09
2008-01,2025-08,stationary_bootstrap,4,10000,212,42,0.0100,cap_nav,9000000.00,yearly,1,0.00,1122613.38,2521845.79,8628867.33,9033156.88,9352948.04,8850518.98,10172163.63,11644547.56,1.1203,1.2876,1.4740,0.93,5.9409,8849970.24,10230112.02,12001834.48,1.12,1.29,1.52,0.0064,0.0147,0.0240,0.0584,0.0820,0.1041,0.0010,0.5766,0.1149,0.0143,0.0000,0.0000,0.5766,0.1149,0.0143,0.4234,0.8851,0.9857,6.49,8.44,11.24,87,114,116,5.84,8.20,10.41
2008-01,2025-08,stationary_bootstrap,5,10000,12,42,0.0100,cap_nav,9000000.00,yearly,1,0.00,0.00,0.00,7780510.76,7993860.45,8350128.03,7780510.76,7993860.45,8350128.03,0.9849,1.0119,1.0570,0.0,0.0,7780510.76,7993860.45,8350128.03,0.98,1.01,1.06,-0.0151,0.0119,0.0570,0.0081,0.0356,0.0584,0.2381,0.0380,0.0009,0.0000,0.0000,0.0000,0.0380,0.0009,0.0000,0.9620,0.9991,1.0000,5.96,7.54,NaN,7,10,NaN,0.81,3.56,5.84
2008-01,2025-08,stationary_bootstrap,5,10000,36,42,0.0100,cap_nav,9000000.00,yearly,1,0.00,0.00,0.00,7799305.49,8224887.65,8843038.88,7799305.49,8224887.65,8844537.94,0.9873,1.0411,1.1196,0.0035,0.0035,7799305.49,8224887.65,8844537.94,0.99,1.04,1.12,-0.0043,0.0135,0.0384,0.0166,0.0584,0.0693,0.1105,0.1217,0.0095,0.0006,0.0000,0.0000,0.1217,0.0095,0.0006,0.8783,0.9905,0.9994,6.07,7.91,10.43,19,24,29,1.66,5.84,6.93
2008-01,2025-08,stationary_bootstrap,5,10000,212,42,0.0100,cap_nav,9000000.00,yearly,1,0.00,1119084.48,2575835.77,8641883.19,9029999.69,9356676.91,8812371.39,10176326.56,11673976.20,1.1155,1.2881,1.4777,0.9235,5.8723,8811656.44,10235222.75,12045542.97,1.12,1.30,1.52,0.0062,0.0148,0.0242,0.0584,0.0806,0.1022,0.0016,0.5847,0.1062,0.0127,0.0000,0.0000,0.5847,0.1062,0.0127,0.4153,0.8938,0.9873,6.42,8.39,11.13,86,115,112,5.84,8.06,10.22
2008-01,2025-08,stationary_bootstrap,6,10000,12,42,0.0100,cap_nav,9000000.00,yearly,1,0.00,0.00,0.00,7789109.34,7988956.24,8357300.18,7789109.34,7988956.24,8357300.18,0.9860,1.0113,1.0579,0.0,0.0,7789109.34,7988956.24,8357300.18,0.99,1.01,1.06,-0.0140,0.0113,0.0579,0.0081,0.0301,0.0584,0.2453,0.0343,0.0008,0.0000,0.0000,0.0000,0.0343,0.0008,0.0000,0.9657,0.9992,1.0000,5.91,7.44,NaN,8,10,NaN,0.81,3.01,5.84
