month,window_months,window_start_month,window_end_month,rolling_return_12m,rolling_volatility_annualized_12m,rolling_sharpe_annualized_12m,insufficient_months,rolling_max_drawdown_12m,rolling_calmar_12m,rolling_sortino_annualized_12m,active_months_count_12m,active_months_share_12m,positive_months_count_12m,negative_months_count_12m,insufficient_negative_months,positive_months_share_12m,negative_months_share_12m,rolling_omega_12m_target_0m,rolling_var_95_12m,rolling_es_95_12m,rolling_tail_ratio_p95_p5_12m,rolling_max_drawdown_12m_xrisk,rolling_var_95_12m_xrisk,rolling_es_95_12m_xrisk
2008-12,12,2008-01,2008-12,0.0072,0.0604,0.15,False,-0.0584,0.12,0.17,12,1.0000,8,4,False,0.6667,0.3333,1.12,-0.0290,-0.0356,0.70,5.84,2.90,3.56
2009-01,12,2008-02,2009-01,0.0158,0.0626,0.28,False,-0.0584,0.27,0.34,12,1.0000,8,4,False,0.6667,0.3333,1.24,-0.0290,-0.0356,0.78,5.84,2.90,3.56
2009-02,12,2008-03,2009-02,0.0047,0.0633,0.10,False,-0.0584,0.08,0.14,12,1.0000,7,5,False,0.5833,0.4167,1.08,-0.0290,-0.0356,0.78,5.84,2.90,3.56
2009-03,12,2008-04,2009-03,-0.0104,0.0652,-0.13,False,-0.0584,-0.18,-0.23,12,1.0000,7,5,False,0.5833,0.4167,0.91,-0.0290,-0.0356,0.78,5.84,2.90,3.56
2009-04,12,2008-05,2009-04,0.0103,0.0637,0.19,False,-0.0584,0.18,0.30,12,1.0000,8,4,False,0.6667,0.3333,1.15,-0.0290,-0.0356,0.78,5.84,2.90,3.56
2009-05,12,2008-06,2009-05,0.0152,0.0641,0.26,False,-0.0584,0.26,0.42,12,1.0000,8,4,False,0.6667,0.3333,1.20,-0.0290,-0.0356,0.78,5.84,2.90,3.56
2009-06,12,2008-07,2009-06,0.0117,0.0640,0.21,False,-0.0584,0.20,0.33,12,1.0000,8,4,False,0.6667,0.3333,1.16,-0.0290,-0.0356,0.78,5.84,2.90,3.56
2009-07,12,2008-08,2009-07,0.0093,0.0639,0.17,False,-0.0584,0.16,0.27,12,1.0000,8,4,False,0.6667,0.3333,1.13,-0.0290,-0.0356,0.78,5.84,2.90,3.56
2009-08,12,2008-09,2009-08,-0.0006,0.0624,0.02,False,-0.0356,-0.02,0.03,12,1.0000,8,4,False,0.6667,0.3333,1.01,-0.0290,-0.0356,0.78,3.56,2.90,3.56
2009-09,12,2008-10,2009-09,0.0246,0.0568,0.46,False,-0.0234,1.05,0.53,12,1.0000,9,3,False,0.7500,0.2500,1.44,-0.0244,-0.0356,0.92,2.34,2.44,3.56
2009-10,12,2008-11,2009-10,0.0712,0.0392,1.78,False,-0.0234,3.04,4.18,12,1.0000,10,2,False,0.8333,0.1667,3.95,-0.0114,-0.0152,1.97,2.34,1.14,1.52
2009-11,12,2008-12,2009-11,0.0569,0.0378,1.49,False,-0.0234,2.43,3.36,12,1.0000,10,2,False,0.8333,0.1667,3.38,-0.0114,-0.0152,1.97,2.34,1.14,1.52
2009-12,12,2009-01,2009-12,0.0356,0.0299,1.18,False,-0.0234,1.52,2.13,12,1.0000,10,2,False,0.8333,0.1667,2.50,-0.0114,-0.0152,1.18,2.34,1.14,1.52
2010-01,12,2009-02,2010-01,0.0273,0.0258,1.06,False,-0.0152,1.80,1.64,12,1.0000,10,2,False,0.8333,0.1667,2.16,-0.0114,-0.0152,0.86,1.52,1.14,1.52
2010-02,12,2009-03,2010-02,0.0381,0.0230,1.64,False,0.0000,inf,NaN,12,1.0000,11,1,True,0.9167,0.0833,3.48,-0.0065,-0.0152,1.52,0.00,0.65,1.52
2010-03,12,2009-04,2010-03,0.0625,0.0118,5.14,False,0.0000,inf,NaN,12,1.0000,12,0,True,1.0000,0.0000,NaN,0.0009,0.0006,11.13,0.00,0.09,0.06
2010-04,12,2009-05,2010-04,0.0522,0.0147,3.47,False,-0.0038,13.81,NaN,12,1.0000,11,1,True,0.9167,0.0833,14.52,-0.0013,-0.0038,7.33,0.38,0.13,0.38
2010-05,12,2009-06,2010-05,0.0750,0.0299,2.44,False,-0.0038,19.82,NaN,12,1.0000,11,1,True,0.9167,0.0833,20.27,-0.0013,-0.0038,14.83,0.38,0.13,0.38
2010-06,12,2009-07,2010-06,0.0844,0.0295,2.77,False,-0.0038,22.32,NaN,12,1.0000,11,1,True,0.9167,0.0833,22.60,-0.0011,-0.0038,18.10,0.38,0.11,0.38
2010-07,12,2009-08,2010-07,0.0878,0.0292,2.90,False,-0.0038,23.20,NaN,12,1.0000,11,1,True,0.9167,0.0833,23.42,-0.0011,-0.0038,18.10,0.38,0.11,0.38
2010-08,12,2009-09,2010-08,0.0747,0.0329,2.21,False,-0.0081,9.27,6.94,12,1.0000,10,2,False,0.8333,0.1667,7.14,-0.0057,-0.0081,3.50,0.81,0.57,0.81
2010-09,12,2009-10,2010-09,0.0735,0.0331,2.16,False,-0.0081,9.03,5.17,12,1.0000,9,3,False,0.7500,0.2500,7.01,-0.0057,-0.0081,3.50,0.81,0.57,0.81
2010-10,12,2009-11,2010-10,0.0773,0.0335,2.24,False,-0.0081,9.50,5.42,12,1.0000,9,3,False,0.7500,0.2500,7.31,-0.0057,-0.0081,3.52,0.81,0.57,0.81
2010-11,12,2009-12,2010-11,0.0782,0.0334,2.28,False,-0.0081,9.62,5.49,12,1.0000,9,3,False,0.7500,0.2500,7.38,-0.0057,-0.0081,3.52,0.81,0.57,0.81
2010-12,12,2010-01,2010-12,0.0829,0.0336,2.40,False,-0.0081,10.19,5.80,12,1.0000,9,3,False,0.7500,0.2500,7.75,-0.0057,-0.0081,3.52,0.81,0.57,0.81
2011-01,12,2010-02,2011-01,0.0843,0.0338,2.42,False,-0.0081,10.37,5.90,12,1.0000,9,3,False,0.7500,0.2500,7.86,-0.0057,-0.0081,3.63,0.81,0.57,0.81
2011-02,12,2010-03,2011-02,0.0796,0.0347,2.23,False,-0.0081,9.79,6.63,12,1.0000,8,4,False,0.6667,0.3333,6.45,-0.0057,-0.0081,3.63,0.81,0.57,0.81
2011-03,12,2010-04,2011-03,0.0757,0.0347,2.12,False,-0.0081,9.30,6.31,12,1.0000,8,4,False,0.6667,0.3333,6.19,-0.0057,-0.0081,3.63,0.81,0.57,0.81
2011-04,12,2010-05,2011-04,0.0736,0.0354,2.03,False,-0.0081,9.05,5.83,12,1.0000,8,4,False,0.6667,0.3333,5.44,-0.0068,-0.0081,3.05,0.81,0.68,0.81
2011-05,12,2010-06,2011-05,0.0349,0.0257,1.35,False,-0.0125,2.80,3.02,12,1.0000,7,5,False,0.5833,0.4167,2.51,-0.0074,-0.0081,1.66,1.25,0.74,0.81
2011-06,12,2010-07,2011-06,0.0308,0.0249,1.23,False,-0.0125,2.46,2.67,12,1.0000,7,5,False,0.5833,0.4167,2.33,-0.0074,-0.0081,1.66,1.25,0.74,0.81
2011-07,12,2010-08,2011-07,0.0270,0.0245,1.10,False,-0.0125,2.16,2.34,12,1.0000,7,5,False,0.5833,0.4167,2.17,-0.0074,-0.0081,1.66,1.25,0.74,0.81
2011-08,12,2010-09,2011-08,0.0339,0.0222,1.51,False,-0.0125,2.72,3.36,12,1.0000,7,5,False,0.5833,0.4167,3.07,-0.0062,-0.0068,1.97,1.25,0.62,0.68
2011-09,12,2010-10,2011-09,0.0263,0.0244,1.08,False,-0.0130,2.02,2.77,12,1.0000,7,5,False,0.5833,0.4167,2.11,-0.0071,-0.0074,1.73,1.30,0.71,0.74
2011-10,12,2010-11,2011-10,0.0215,0.0227,0.95,False,-0.0130,1.65,2.26,12,1.0000,7,5,False,0.5833,0.4167,1.91,-0.0071,-0.0074,1.57,1.30,0.71,0.74
2011-11,12,2010-12,2011-11,0.0141,0.0234,0.61,False,-0.0130,1.08,1.67,12,1.0000,6,6,False,0.5000,0.5000,1.52,-0.0071,-0.0074,1.57,1.30,0.71,0.74
2011-12,12,2011-01,2011-12,0.0066,0.0216,0.31,False,-0.0130,0.51,0.80,12,1.0000,6,6,False,0.5000,0.5000,1.25,-0.0071,-0.0074,1.36,1.30,0.71,0.74
2012-01,12,2011-02,2012-01,-0.0072,0.0169,-0.42,False,-0.0130,-0.55,-0.78,12,1.0000,5,7,False,0.4167,0.5833,0.75,-0.0071,-0.0074,0.86,1.30,0.71,0.74
2012-02,12,2011-03,2012-02,0.0010,0.0180,0.06,False,-0.0130,0.08,0.12,12,1.0000,6,6,False,0.5000,0.5000,1.04,-0.0071,-0.0074,0.91,1.30,0.71,0.74
2012-03,12,2011-04,2012-03,-0.0069,0.0178,-0.38,False,-0.0088,-0.79,-0.78,12,1.0000,5,7,False,0.4167,0.5833,0.77,-0.0071,-0.0074,0.91,0.88,0.71,0.74
2012-04,12,2011-05,2012-04,-0.0012,0.0169,-0.06,False,-0.0088,-0.13,-0.11,12,1.0000,5,6,False,0.4167,0.5000,0.96,-0.0071,-0.0074,0.91,0.88,0.71,0.74
2012-05,12,2011-06,2012-05,0.0045,0.0153,0.30,False,-0.0088,0.52,0.54,12,1.0000,5,6,False,0.4167,0.5000,1.25,-0.0056,-0.0074,1.15,0.88,0.56,0.74
