year,ret_year,maxdd_year,trades,hit_rate,profit_factor
2009,0.261382,-0.063479,464,0.711207,1.15
2010,0.280104,-0.068028,325,0.710769,1.242
2011,-0.057049,-0.157148,322,0.664596,0.962
2012,-0.004851,-0.133547,143,0.671329,0.998
2013,-0.036835,-0.063186,106,0.613208,0.923
2014,0.116989,-0.045408,61,0.754098,1.626
2015,0.598778,-0.016409,375,0.722667,1.402
2016,0.19689,-0.062455,194,0.726804,1.286
2017,0.120626,-0.012564,78,0.717949,1.549
2018,0.030843,-0.057595,71,0.661972,1.132
2019,0.0204,-0.015591,28,0.714286,1.229
2020,0.088153,-0.023581,123,0.699187,1.218
2021,0.002534,-0.03137,17,0.588235,1.05
2022,0.015538,-0.079234,231,0.65368,1.025
2023,0.02655,-0.034057,94,0.659574,1.084
2024,0.050957,-0.051819,52,0.692308,1.27
2025,0.116264,0.0,52,0.769231,1.761
