date_end,ret_36m_ann,maxdd_36m,calmar_36m
2011-12-31,0.150514,-0.157076,0.958
2012-01-31,0.092641,-0.157076,0.59
2012-02-29,0.132582,-0.157076,0.844
2012-03-31,0.087701,-0.157076,0.558
2012-04-30,0.092762,-0.157076,0.591
2012-05-31,0.077507,-0.157076,0.493
2012-06-30,0.073267,-0.165193,0.444
2012-07-31,0.030085,-0.224798,0.134
2012-08-31,0.069139,-0.224798,0.308
2012-09-30,0.070476,-0.224798,0.314
2012-10-31,0.063794,-0.224798,0.284
2012-11-30,0.054544,-0.224798,0.243
2012-12-31,0.063064,-0.224798,0.281
2013-01-31,0.031961,-0.224798,0.142
2013-02-28,0.040356,-0.224798,0.18
2013-03-31,0.038782,-0.224798,0.173
2013-04-30,0.026857,-0.224798,0.119
2013-05-31,-0.018014,-0.232594,-0.077
2013-06-30,-0.02723,-0.233882,-0.116
2013-07-31,-0.038829,-0.248987,-0.156
2013-08-31,-0.019676,-0.248987,-0.079
2013-09-30,-0.001588,-0.248987,-0.006
2013-10-31,-0.007361,-0.248987,-0.03
2013-11-30,-0.025197,-0.248987,-0.101
2013-12-31,-0.033183,-0.248987,-0.133
2014-01-31,-0.026369,-0.248987,-0.106
2014-02-28,-0.015986,-0.248987,-0.064
2014-03-31,-0.030584,-0.248987,-0.123
2014-04-30,-0.030901,-0.248987,-0.124
2014-05-31,-0.016212,-0.248987,-0.065
2014-06-30,-0.019439,-0.248987,-0.078
2014-07-31,-0.023165,-0.248987,-0.093
2014-08-31,-0.026909,-0.248987,-0.108
2014-09-30,-0.051955,-0.188086,-0.276
2014-10-31,-0.041949,-0.160691,-0.261
2014-11-30,-0.0133,-0.160691,-0.083
2014-12-31,0.022972,-0.160691,0.143
2015-01-31,0.016718,-0.160691,0.104
2015-02-28,0.00502,-0.148942,0.034
2015-03-31,0.061193,-0.148722,0.411
2015-04-30,0.082706,-0.148722,0.556
2015-05-31,0.078565,-0.106603,0.737
2015-06-30,0.121602,-0.106603,1.141
2015-07-31,0.191289,-0.106603,1.794
2015-08-31,0.174897,-0.106603,1.641
2015-09-30,0.159648,-0.106603,1.498
2015-10-31,0.168766,-0.104613,1.613
2015-11-30,0.190132,-0.104613,1.817
2015-12-31,0.198212,-0.063266,3.133
2016-01-31,0.227273,-0.059878,3.796
2016-02-29,0.233107,-0.059878,3.893
2016-03-31,0.232187,-0.045412,5.113
2016-04-30,0.254892,-0.045412,5.613
2016-05-31,0.277457,-0.045412,6.11
2016-06-30,0.286486,-0.045412,6.309
2016-07-31,0.307301,-0.045412,6.767
2016-08-31,0.308088,-0.045412,6.784
2016-09-30,0.305956,-0.045412,6.737
2016-10-31,0.317543,-0.045412,6.992
2016-11-30,0.293045,-0.062564,4.684
2016-12-31,0.288214,-0.062564,4.607
2017-01-31,0.29499,-0.062564,4.715
2017-02-28,0.28409,-0.062564,4.541
2017-03-31,0.292983,-0.062564,4.683
2017-04-30,0.293318,-0.062564,4.688
2017-05-31,0.301875,-0.062564,4.825
2017-06-30,0.291788,-0.062564,4.664
2017-07-31,0.290224,-0.062564,4.639
2017-08-31,0.303181,-0.062564,4.846
2017-09-30,0.31434,-0.062564,5.024
2017-10-31,0.329244,-0.062564,5.263
2017-11-30,0.309263,-0.062564,4.943
2017-12-31,0.289623,-0.062564,4.629
2018-01-31,0.301362,-0.062564,4.817
2018-02-28,0.310544,-0.062564,4.964
2018-03-31,0.25051,-0.062564,4.004
2018-04-30,0.223309,-0.062564,3.569
2018-05-31,0.236003,-0.062564,3.772
2018-06-30,0.186944,-0.062564,2.988
2018-07-31,0.149593,-0.062564,2.391
2018-08-31,0.16094,-0.062564,2.572
2018-09-30,0.165881,-0.062564,2.651
2018-10-31,0.152037,-0.062564,2.43
2018-11-30,0.129672,-0.062564,2.073
2018-12-31,0.114059,-0.062564,1.823
2019-01-31,0.097648,-0.062564,1.561
2019-02-28,0.098353,-0.062564,1.572
2019-03-31,0.088868,-0.076908,1.156
2019-04-30,0.076409,-0.076908,0.994
2019-05-31,0.066145,-0.076908,0.86
2019-06-30,0.060168,-0.076908,0.782
2019-07-31,0.05593,-0.076908,0.727
2019-08-31,0.050287,-0.076908,0.654
2019-09-30,0.047308,-0.076908,0.615
2019-10-31,0.035339,-0.076908,0.46
2019-11-30,0.057878,-0.076908,0.753
2019-12-31,0.056406,-0.076908,0.733
2020-01-31,0.047912,-0.076908,0.623
2020-02-29,0.044928,-0.076908,0.584
2020-03-31,0.051304,-0.076908,0.667
2020-04-30,0.048535,-0.076908,0.631
2020-05-31,0.044522,-0.076908,0.579
2020-06-30,0.051578,-0.076908,0.671
2020-07-31,0.058288,-0.076908,0.758
2020-08-31,0.060191,-0.076908,0.783
2020-09-30,0.052654,-0.076908,0.685
2020-10-31,0.057102,-0.076908,0.742
2020-11-30,0.048445,-0.076908,0.63
2020-12-31,0.046108,-0.076908,0.6
2021-01-31,0.042792,-0.076908,0.556
2021-02-28,0.03061,-0.076908,0.398
2021-03-31,0.031363,-0.076908,0.408
2021-04-30,0.034415,-0.076908,0.447
2021-05-31,0.029817,-0.063357,0.471
2021-06-30,0.052012,-0.063357,0.821
2021-07-31,0.048219,-0.063357,0.761
2021-08-31,0.036423,-0.059771,0.609
2021-09-30,0.037744,-0.059771,0.631
2021-10-31,0.029741,-0.042768,0.695
2021-11-30,0.032924,-0.032932,1.0
2021-12-31,0.03645,-0.031385,1.161
2022-01-31,0.042608,-0.031385,1.358
2022-02-28,0.049793,-0.031385,1.587
2022-03-31,0.068261,-0.031385,2.175
2022-04-30,0.064067,-0.031385,2.041
2022-05-31,0.073015,-0.031385,2.326
2022-06-30,0.062564,-0.031385,1.993
2022-07-31,0.045017,-0.058719,0.767
2022-08-31,0.047721,-0.058719,0.813
2022-09-30,0.051619,-0.058719,0.879
2022-10-31,0.066384,-0.058719,1.131
2022-11-30,0.04232,-0.066183,0.639
2022-12-31,0.034791,-0.079285,0.439
2023-01-31,0.019131,-0.120457,0.159
2023-02-28,0.038192,-0.120457,0.317
2023-03-31,0.022604,-0.120457,0.188
2023-04-30,0.031043,-0.120457,0.258
2023-05-31,0.043518,-0.120457,0.361
2023-06-30,0.031053,-0.120457,0.258
2023-07-31,0.023591,-0.120457,0.196
2023-08-31,0.013403,-0.120457,0.111
2023-09-30,0.005557,-0.120457,0.046
2023-10-31,0.005248,-0.120457,0.044
2023-11-30,0.012606,-0.120457,0.105
2023-12-31,0.01483,-0.120457,0.123
2024-01-31,0.015673,-0.120457,0.13
2024-02-29,0.02248,-0.120457,0.187
