date,roll_12m_return,roll_12m_sharpe
2009-12-31,0.261382,1.0756
2010-01-31,0.121469,0.7276
2010-02-28,0.137506,0.8263
2010-03-31,0.039275,0.3501
2010-04-30,0.079265,0.6401
2010-05-31,0.149194,0.9092
2010-06-30,0.232545,1.4152
2010-07-31,0.192479,1.228
2010-08-31,0.225854,1.5306
2010-09-30,0.164436,1.0982
2010-10-31,0.165474,1.1034
2010-11-30,0.204998,1.3021
2010-12-31,0.280296,1.7127
2011-01-31,0.209935,1.3233
2011-02-28,0.262417,1.7258
2011-03-31,0.296353,1.8927
2011-04-30,0.27328,1.7465
2011-05-31,0.07428,0.6359
2011-06-30,0.081816,0.6857
2011-07-31,0.076792,0.6496
2011-08-31,0.131437,1.1252
2011-09-30,0.268739,1.9451
2011-10-31,0.136592,0.8868
2011-11-30,0.040579,0.3212
2011-12-31,-0.056984,-0.2884
2012-01-31,-0.038645,-0.1694
2012-02-29,0.011703,0.1466
2012-03-31,-0.044843,-0.2013
2012-04-30,-0.050434,-0.2368
2012-05-31,0.013326,0.1564
2012-06-30,-0.072812,-0.4017
2012-07-31,-0.14879,-0.8603
2012-08-31,-0.118883,-0.6196
2012-09-30,-0.169684,-1.1414
2012-10-31,-0.091206,-0.6219
2012-11-30,-0.06474,-0.4357
2012-12-31,-0.004942,0.0188
2013-01-31,-0.05519,-0.3652
2013-02-28,-0.118363,-1.0208
2013-03-31,-0.094737,-0.7806
2013-04-30,-0.104469,-0.8693
2013-05-31,-0.130141,-1.1119
2013-06-30,-0.082282,-0.7314
2013-07-31,-0.031204,-0.3306
2013-08-31,-0.054972,-0.7475
2013-09-30,-0.055258,-0.7531
2013-10-31,-0.0531,-0.7148
2013-11-30,-0.048205,-0.6493
2013-12-31,-0.036912,-0.4599
2014-01-31,0.016142,0.2884
2014-02-28,0.068219,1.0268
2014-03-31,0.053612,0.82
2014-04-30,0.070284,1.1122
2014-05-31,0.080207,1.346
2014-06-30,0.108017,1.735
2014-07-31,0.130302,2.3487
2014-08-31,0.106577,1.9644
2014-09-30,0.086252,1.6748
2014-10-31,0.021871,0.3354
2014-11-30,0.079146,0.9532
2014-12-31,0.11706,1.181
2015-01-31,0.094717,0.9525
2015-02-28,0.077888,0.8214
2015-03-31,0.252933,1.3325
2015-04-30,0.324194,1.628
2015-05-31,0.335312,1.6896
2015-06-30,0.38759,1.8691
2015-07-31,0.54392,2.2969
2015-08-31,0.550862,2.3297
2015-09-30,0.519619,2.1754
2015-10-31,0.649993,2.8677
2015-11-30,0.641202,2.8377
2015-12-31,0.599035,2.6975
2016-01-31,0.661754,3.0476
2016-02-29,0.628428,2.8579
2016-03-31,0.417169,2.8698
2016-04-30,0.394338,2.7976
2016-05-31,0.445271,3.2582
2016-06-30,0.384864,3.0093
2016-07-31,0.280288,3.997
2016-08-31,0.304235,4.4816
2016-09-30,0.349337,6.9752
2016-10-31,0.356489,6.8142
2016-11-30,0.220671,2.1279
2016-12-31,0.196821,1.9452
2017-01-31,0.193796,1.9243
2017-02-28,0.206268,2.0666
2017-03-31,0.217388,2.17
2017-04-30,0.171646,1.7964
2017-05-31,0.143342,1.5455
2017-06-30,0.121774,1.3283
2017-07-31,0.086583,0.9858
2017-08-31,0.094171,1.0468
2017-09-30,0.107307,1.1538
2017-10-31,0.049339,0.5969
2017-11-30,0.120262,2.4034
2017-12-31,0.12073,2.411
2018-01-31,0.110958,2.3341
2018-02-28,0.145889,2.4984
2018-03-31,0.133471,2.3272
2018-04-30,0.120584,1.9981
2018-05-31,0.142704,2.282
2018-06-30,0.07641,0.8535
2018-07-31,0.092099,1.0198
2018-08-31,0.096449,1.0511
2018-09-30,0.060657,0.7041
2018-10-31,0.074157,0.8634
2018-11-30,0.054238,0.6276
2018-12-31,0.030849,0.376
2019-01-31,-0.002847,0.0116
2019-02-28,-0.041396,-0.4826
2019-03-31,-0.064409,-0.7836
2019-04-30,-0.050071,-0.5936
2019-05-31,-0.072446,-0.9598
2019-06-30,-0.013172,-0.2409
2019-07-31,-0.007844,-0.128
2019-08-31,-0.034283,-0.933
2019-09-30,-0.021907,-0.5573
2019-10-31,-0.015389,-0.3754
2019-11-30,0.002416,0.085
2019-12-31,0.020461,0.6162
2020-01-31,0.038759,1.4461
2020-02-29,0.038669,1.4422
2020-03-31,0.095691,2.4583
2020-04-30,0.082964,2.0002
2020-05-31,0.075177,1.7419
2020-06-30,0.094724,2.0656
2020-07-31,0.093879,2.0554
2020-08-31,0.125419,2.2829
2020-09-30,0.124352,2.2635
2020-10-31,0.116909,2.1022
