date,roll_12m_return,roll_12m_sharpe
2020-11-30,0.09056,1.4223
2020-12-31,0.088275,1.3879
2021-01-31,0.094753,1.4945
2021-02-28,0.099427,1.5745
2021-03-31,0.070189,1.3285
2021-04-30,0.075919,1.4635
2021-05-31,0.09512,1.8829
2021-06-30,0.077745,1.6219
2021-07-31,0.061224,1.3115
2021-08-31,0.024346,0.7778
2021-09-30,0.01622,0.5352
2021-10-31,-0.007109,-0.1628
2021-11-30,0.008109,0.2674
2021-12-31,0.002558,0.0956
2022-01-31,-0.003374,-0.095
2022-02-28,0.013134,0.3668
2022-03-31,0.039641,0.7794
2022-04-30,0.033983,0.6627
2022-05-31,0.049244,0.8742
2022-06-30,0.01682,0.2883
2022-07-31,-0.016908,-0.1991
2022-08-31,-0.002354,0.0029
2022-09-30,0.017852,0.2635
2022-10-31,0.093508,1.0822
2022-11-30,0.030021,0.3145
2022-12-31,0.015569,0.1882
2023-01-31,-0.029844,-0.1881
2023-02-28,0.004614,0.0963
2023-03-31,-0.038879,-0.2457
2023-04-30,-0.014772,-0.0531
2023-05-31,-0.011077,-0.0236
2023-06-30,0.00019,0.0614
2023-07-31,0.027966,0.2784
2023-08-31,0.018413,0.204
2023-09-30,-0.017012,-0.0814
2023-10-31,-0.064387,-0.5463
2023-11-30,-7.4e-05,0.0395
2023-12-31,0.026504,0.3373
2024-01-31,0.083649,1.1589
2024-02-29,0.050264,0.9847
2024-03-31,0.06923,1.3728
2024-04-30,0.040848,0.8256
2024-05-31,0.019498,0.4828
2024-06-30,0.052939,1.3181
2024-07-31,0.06858,1.7612
2024-08-31,0.070742,1.8125
2024-09-30,0.088983,2.7598
2024-10-31,0.106902,3.3216
2024-11-30,0.051556,0.7755
2024-12-31,0.050937,0.7676
2025-01-31,0.112596,1.1971
2025-02-28,0.109185,1.1697
2025-03-31,0.102279,1.1002
2025-04-30,0.112667,1.2211
2025-05-31,0.103347,1.1223
2025-06-30,0.106273,1.1479
2025-07-31,0.097014,1.0511
