year,prev_eom_month,prev_eom_nav,next_first_month,next_first_nav,delta_abs,factor_s,cashflow_ccy
2003,2003-12,108452.11,2004-01,100000.0,-8452.11,1.084521,8452.11
2004,2004-12,107933.27,2005-01,100000.0,-7933.27,1.079333,7933.27
2005,2005-12,96409.05,2006-01,100000.0,3590.95,0.96409,-3590.95
2006,2006-12,103323.74,2007-01,100000.0,-3323.74,1.033237,3323.74
