year,ret_year,maxdd_year,trades,hit_rate,profit_factor
2009,0.110019,-0.046472,464,0.704741,1.099
2010,0.135785,-0.050643,325,0.698462,1.183
2011,-0.070925,-0.116407,322,0.658385,0.92
2012,-0.020301,-0.098107,143,0.657343,0.942
2013,-0.036419,-0.050856,106,0.613208,0.882
2014,0.070509,-0.03189,61,0.754098,1.554
2015,0.307774,-0.013595,375,0.717333,1.333
2016,0.100056,-0.045796,194,0.726804,1.222
2017,0.067298,-0.00882,78,0.717949,1.459
2018,0.00752,-0.040217,71,0.661972,1.07
2019,0.009615,-0.011027,28,0.714286,1.159
2020,0.023927,-0.016267,123,0.699187,1.15
2021,-0.000542,-0.021911,17,0.588235,0.991
2022,-0.023233,-0.063804,231,0.649351,0.966
2023,0.004286,-0.027272,94,0.659574,1.024
2024,0.025918,-0.037418,52,0.692308,1.204
2025,0.067881,0.0,52,0.75,1.664
