year,month,ret_m
2009,1,0.09991
2009,2,-0.04397
2009,3,0.065895
2009,4,-0.016574
2009,5,0.02828
2009,6,-0.032596
2009,7,0.031872
2009,8,-0.044788
2009,9,0.010909
2009,10,0.019618
2009,11,0.007251
2009,12,-0.010733
2010,1,0.028323
2010,2,-0.028528
2010,3,0.010235
2010,4,0.010923
2010,5,0.064561
2010,6,0.013743
2010,7,0.007565
2010,8,-0.027693
2010,9,-0.023575
2010,10,0.018584
2010,11,0.028078
2010,12,0.029945
2011,1,-0.011089
2011,2,0.000371
2011,3,0.028228
2011,4,-0.000317
2011,5,-0.042505
2011,6,0.02055
2011,7,0.003765
2011,8,0.00316
2011,9,0.050901
2011,10,-0.055003
2011,11,-0.031329
2011,12,-0.03462
2012,1,0.002205
2012,2,0.033738
2012,3,-0.01006
2012,4,-0.004199
2012,5,0.001766
2012,6,-0.038627
2012,7,-0.050006
2012,8,0.028801
2012,9,0.013724
2012,10,0.007857
2012,11,-0.009255
2012,12,0.00685
2013,1,-0.030348
2013,2,-0.012512
2013,3,0.006996
2013,4,-0.01167
2013,5,-0.01765
2013,6,-0.002098
2013,7,-0.014645
2013,8,0.013725
2013,9,0.014618
2013,10,0.00902
2013,11,-0.006092
2013,12,0.015073
2014,1,0.005065
2014,2,0.022068
2014,3,-0.001284
2014,4,0.0
2014,5,-0.010186
2014,6,0.015594
2014,7,0.0
2014,8,0.0
2014,9,0.00171
2014,10,-0.031816
2014,11,0.02984
2014,12,0.037686
2015,1,-0.011823
2015,2,0.009539
2015,3,0.096231
2015,4,0.030235
2015,5,-0.009844
2015,6,0.035123
2015,7,0.071978
2015,8,-0.000488
2015,9,-0.013105
2015,10,0.022758
2015,11,0.027077
2015,12,0.019573
2016,1,0.015364
2016,2,-0.003851
2016,3,0.003843
2016,4,0.024904
2016,5,0.018801
2016,6,0.009211
2016,7,0.017836
2016,8,0.0144
2016,9,0.010478
2016,10,0.027203
2016,11,-0.045791
2016,12,0.005191
2017,1,0.01338
2017,2,0.005335
2017,3,0.012267
2017,4,-5e-06
2017,5,0.002598
2017,6,-0.000838
2017,7,-0.00336
2017,8,0.018385
2017,9,0.018683
2017,10,-0.008816
2017,11,0.0001
2017,12,0.007908
2018,1,0.00882
2018,2,0.025766
2018,3,0.00533
2018,4,-0.007322
2018,5,0.014764
2018,6,-0.040226
2018,7,0.006657
2018,8,0.022034
2018,9,-0.003233
2018,10,0.0
2018,11,-0.012919
2018,12,-0.007221
2019,1,-0.012592
2019,2,0.0
2019,3,-0.011001
2019,4,0.002887
2019,5,2.9e-05
2019,6,0.001431
2019,7,0.010552
2019,8,0.004064
2019,9,0.005244
2019,10,0.004283
2019,11,0.0
2019,12,0.004943
2020,1,0.0
2020,2,-0.000214
2020,3,0.015269
2020,4,-0.00633
2020,5,-0.005186
2020,6,0.012075
2020,7,0.009756
2020,8,0.022895
2020,9,0.004914
2020,10,0.0
2020,11,-0.016267
2020,12,0.003267
2021,1,0.003819
2021,2,0.00265
2021,3,0.006924
2021,4,-0.001334
2021,5,0.006897
2021,6,0.002701
2021,7,0.0
2021,8,0.0
2021,9,0.0
2021,10,-0.015607
2021,11,-0.006362
2021,12,0.0
2022,1,0.0
2022,2,0.012254
2022,3,0.021849
2022,4,-0.006359
2022,5,0.015177
2022,6,-0.01976
2022,7,-0.026035
2022,8,0.007063
2022,9,0.006596
2022,10,0.027411
2022,11,-0.048174
2022,12,-0.010745
2023,1,-0.032619
2023,2,0.03611
2023,3,-0.006969
2023,4,0.010973
2023,5,0.018816
2023,6,-0.010953
2023,7,-0.005187
2023,8,0.002827
2023,9,-0.010589
2023,10,-0.001438
2023,11,-0.002093
2023,12,0.007092
2024,1,0.00546
2024,2,0.015404
2024,3,0.006542
2024,4,-0.006756
2024,5,0.005452
2024,6,0.010949
2024,7,0.005449
2024,8,0.004019
2024,9,0.000591
2024,10,0.010013
2024,11,-0.037413
2024,12,0.006919
2025,1,0.040692
2025,2,0.012403
2025,3,0.001443
2025,4,0.0
2025,5,0.0
2025,6,0.012102
2025,7,0.0
