year,ret_year,maxdd_year,trades,hit_rate,profit_factor
2009,0.110019,-0.046472,464,0.704741,1.099
2010,0.135929,-0.050615,325,0.698462,1.183
2011,-0.070798,-0.1163,322,0.658385,0.92
2012,-0.020275,-0.098096,143,0.657343,0.942
2013,-0.036193,-0.050689,106,0.613208,0.883
2014,0.068871,-0.031816,61,0.754098,1.556
2015,0.307768,-0.013587,375,0.717333,1.334
2016,0.099838,-0.045791,194,0.726804,1.222
2017,0.067202,-0.008816,78,0.717949,1.459
2018,0.010785,-0.040226,71,0.661972,1.069
2019,0.009642,-0.011001,28,0.714286,1.16
2020,0.040292,-0.016267,123,0.699187,1.15
2021,-0.000518,-0.02187,17,0.588235,0.992
2022,-0.023111,-0.063737,231,0.649351,0.967
2023,0.004377,-0.027194,94,0.659574,1.024
2024,0.025893,-0.037413,52,0.692308,1.204
2025,0.067889,0.0,52,0.75,1.665
