year,ret_year,maxdd_year,trades,hit_rate,profit_factor
2009,0.170681,-0.042924,464,0.711207,1.148
2010,0.181443,-0.045816,325,0.710769,1.241
2011,-0.035995,-0.106546,322,0.664596,0.962
2012,-0.002401,-0.09061,143,0.671329,0.998
2013,-0.021064,-0.041967,106,0.613208,0.923
2014,0.076937,-0.030343,61,0.754098,1.627
2015,0.374816,-0.011194,375,0.722667,1.403
2016,0.128317,-0.042403,194,0.726804,1.285
2017,0.079336,-0.008387,78,0.717949,1.549
2018,0.020761,-0.038742,71,0.661972,1.132
2019,0.013748,-0.010385,28,0.714286,1.23
2020,0.058844,-0.015739,123,0.699187,1.218
2021,0.00179,-0.020948,17,0.588235,1.05
2022,0.011906,-0.05317,231,0.65368,1.025
2023,0.01824,-0.022563,94,0.659574,1.084
2024,0.033918,-0.034748,52,0.692308,1.269
2025,0.076449,0.0,52,0.769231,1.76
