year,prev_eom_month,prev_eom_nav,next_first_month,next_first_nav,delta_abs,factor_s,cashflow_ccy
2003,2003-12,107707.84,2004-01,100000.0,-7707.84,1.077078,7707.84
2004,2004-12,107140.76,2005-01,100000.0,-7140.76,1.071408,7140.76
2005,2005-12,96006.45,2006-01,100000.0,3993.55,0.960064,-3993.55
2006,2006-12,103070.44,2007-01,100000.0,-3070.44,1.030704,3070.44
