year,prev_eom_month,prev_eom_nav,next_first_month,next_first_nav,delta_abs,factor_s,cashflow_ccy
2010,2010-12,4756808.34,2011-01,3400000.0,-1356808.34,1.399061,1356808.34
2017,2017-12,4509697.18,2018-01,3400000.0,-1109697.18,1.326382,1109697.18
