open_date;open_time;close_date;close_time;pnl_abs;pnl_pct;entry_price;exit_price
2008-01-02;16:22:00;2008-01-02;16:30:00;454.64363;0.45464;1.47480;1.47315
2008-01-04;13:30:00;2008-01-04;13:30:00;553.68142;0.54815;1.47727;1.47529
2008-01-04;13:33:00;2008-01-04;13:46:00;430.06105;0.42577;1.48074;1.47828
2008-01-15;16:35:00;2008-01-15;16:42:00;516.18698;0.50887;1.48240;1.48426
2008-01-16;16:12:00;2008-01-16;16:55:00;141.31529;0.13861;1.46294;1.46427
2008-01-17;12:30:00;2008-01-17;13:10:00;28.21878;0.02764;1.46929;1.46915
2008-01-21;16:23:00;2008-01-21;16:26:00;515.81337;0.50508;1.44289;1.44469
2008-01-22;13:20:00;2008-01-22;13:20:00;591.34284;0.57864;1.45868;1.45540
2008-01-22;13:20:00;2008-01-22;13:20:00;-1035.85759;-1.01360;1.45526;1.45872
2008-02-21;16:46:00;2008-02-21;17:08:00;316.07429;0.30928;1.48183;1.48069
2008-02-27;16:38:00;2008-02-27;16:50:00;375.63195;0.36643;1.51440;1.51302
2008-03-05;16:18:00;2008-03-05;16:33:00;374.79077;0.36427;1.52926;1.52788
2008-03-11;11:41:00;2008-03-11;12:04:00;372.64919;0.36088;1.54972;1.54752
2008-03-11;13:41:00;2008-03-11;13:51:00;-1046.20772;-1.00952;1.53923;1.53554
2008-03-11;13:52:00;2008-03-11;14:12:00;436.78190;0.42576;1.53511;1.53770
2008-03-17;00:48:00;2008-03-17;00:59:00;442.83564;0.42983;1.57690;1.57523
2008-03-17;03:24:00;2008-03-17;03:50:00;208.92701;0.20192;1.58833;1.58705
2008-03-19;16:39:00;2008-03-19;16:45:00;470.00906;0.45334;1.56390;1.56565
2008-03-20;10:38:00;2008-03-20;10:51:00;-1053.74689;-1.01179;1.55059;1.54688
2008-03-24;11:16:00;2008-03-24;11:43:00;299.76653;0.29077;1.54519;1.54407
2008-03-25;03:22:00;2008-03-25;03:32:00;-1045.44855;-1.01114;1.54984;1.55352
2008-03-25;03:57:00;2008-03-25;04:25:00;263.67856;0.25763;1.55570;1.55412
2008-03-26;10:20:00;2008-03-26;11:14:00;28.20280;0.02749;1.57125;1.57104
2008-04-01;07:22:00;2008-04-01;07:54:00;-1039.75163;-1.01301;1.56968;1.56593
2008-04-02;13:31:00;2008-04-02;13:36:00;523.62252;0.51538;1.55839;1.56036
2008-04-03;16:13:00;2008-04-03;17:16:00;-422.95557;-0.41416;1.56522;1.56671
2008-04-08;01:14:00;2008-04-08;02:15:00;-221.71794;-0.21801;1.57689;1.57766
2008-04-09;17:59:00;2008-04-09;18:20:00;229.73134;0.22638;1.58540;1.58450
2008-04-10;10:14:00;2008-04-10;10:19:00;514.08827;0.50545;1.59090;1.58894
2008-04-10;16:11:00;2008-04-10;16:51:00;-1033.47491;-1.01101;1.57773;1.57396
2008-04-16;10:24:00;2008-04-16;10:41:00;-1022.64840;-1.01063;1.59084;1.59462
2008-04-16;10:49:00;2008-04-16;11:18:00;250.20250;0.24979;1.59615;1.59457
2008-04-17;12:46:00;2008-04-17;13:20:00;93.01596;0.09263;1.58803;1.58844
2008-04-18;10:47:00;2008-04-18;11:33:00;-1016.23308;-1.01108;1.58689;1.58309
2008-04-24;16:24:00;2008-04-24;16:34:00;421.95658;0.42411;1.56514;1.56679
2008-05-08;02:56:00;2008-05-08;03:05:00;438.38380;0.43876;1.52974;1.53140
2008-05-20;10:29:00;2008-05-20;10:36:00;445.53080;0.44396;1.56485;1.56314
2008-06-05;13:58:00;2008-06-05;14:09:00;468.94563;0.46523;1.54632;1.54455
2008-06-06;13:30:00;2008-06-06;13:30:00;561.27485;0.55119;1.56563;1.56352
2008-06-06;13:34:00;2008-06-06;13:45:00;449.94358;0.44186;1.56931;1.56660
2008-06-10;01:25:00;2008-06-10;02:07:00;120.29105;0.11761;1.55815;1.55864
2008-06-10;10:48:00;2008-06-10;11:05:00;331.87778;0.32410;1.55003;1.55129
2008-06-13;10:32:00;2008-06-13;11:42:00;-1039.63368;-1.01199;1.53493;1.53126
2008-07-02;13:59:00;2008-07-02;13:59:00;565.51017;0.55303;1.58710;1.58496
2008-07-15;10:19:00;2008-07-15;10:28:00;447.77500;0.43789;1.60335;1.60163
2008-07-15;16:27:00;2008-07-15;16:34:00;517.58369;0.50395;1.59119;1.59316
2008-07-22;16:20:00;2008-07-22;16:55:00;42.73422;0.04140;1.58048;1.58069
2008-07-31;13:39:00;2008-07-31;14:30:00;-74.85401;-0.07249;1.56775;1.56797
2008-08-08;01:09:00;2008-08-08;01:09:00;570.77524;0.55008;1.52672;1.52878
2008-08-08;02:22:00;2008-08-08;02:22:00;605.06645;0.57975;1.51958;1.52305
2008-08-11;17:33:00;2008-08-11;17:50:00;337.49718;0.32338;1.49251;1.49372
2008-08-13;11:21:00;2008-08-13;11:37:00;411.42810;0.39294;1.48678;1.48823
2008-08-14;17:34:00;2008-08-14;17:57:00;323.42491;0.30769;1.47833;1.48015
2008-08-20;16:29:00;2008-08-20;16:42:00;424.34983;0.40246;1.46789;1.46936
2008-08-25;01:33:00;2008-08-25;01:51:00;369.89538;0.34941;1.47207;1.47336
2008-09-01;01:59:00;2008-09-01;02:40:00;22.33907;0.02103;1.46360;1.46372
2008-09-03;05:14:00;2008-09-03;05:14:00;584.50970;0.54709;1.44431;1.44626
2008-09-04;16:18:00;2008-09-04;16:49:00;217.29506;0.20338;1.43476;1.43594
2008-09-05;13:30:00;2008-09-05;13:30:00;586.04175;0.54443;1.42934;1.42743
2008-09-05;13:48:00;2008-09-05;13:54:00;569.97766;0.52951;1.43330;1.43032
2008-09-08;07:25:00;2008-09-08;07:35:00;493.15208;0.45572;1.43474;1.43637
2008-09-08;16:56:00;2008-09-08;17:12:00;-1098.21161;-1.01026;1.41522;1.41182
2008-09-08;17:32:00;2008-09-08;17:46:00;450.26286;0.41843;1.40991;1.41226
2008-09-09;02:29:00;2008-09-09;02:32:00;538.11309;0.49798;1.40709;1.40882
2008-09-09;10:11:00;2008-09-09;10:50:00;23.16911;0.02134;1.41780;1.41768
2008-09-09;13:56:00;2008-09-09;14:38:00;-1098.10502;-1.01096;1.41053;1.40715
2008-09-09;16:22:00;2008-09-09;16:44:00;411.90691;0.38309;1.41781;1.41646
2008-09-10;11:14:00;2008-09-10;11:20:00;482.57332;0.44710;1.40924;1.41081
2008-09-15;03:29:00;2008-09-15;04:07:00;-1097.36572;-1.01218;1.43879;1.44222
2008-09-15;04:14:00;2008-09-15;04:46:00;113.90667;0.10614;1.44447;1.44383
2008-09-15;05:44:00;2008-09-15;05:44:00;589.65429;0.54586;1.43471;1.43665
2008-09-15;07:33:00;2008-09-15;07:42:00;-1092.08051;-1.01098;1.43480;1.43137
2008-09-15;07:43:00;2008-09-15;08:11:00;249.85658;0.23366;1.43084;1.43219
2008-09-16;01:02:00;2008-09-16;01:13:00;484.08509;0.45166;1.42105;1.42264
2008-09-16;10:44:00;2008-09-16;11:07:00;249.27271;0.23153;1.41947;1.42031
2008-09-16;13:14:00;2008-09-16;13:29:00;446.30139;0.41357;1.42649;1.42503
